topic_id	initial_request	clarification_need	question_id	question	rank_label
1	tell me about obama family tree .	2	Q00384	are you interested in seeing barack obamas family	0
1	tell me about obama family tree .	2	Q03442	would you like to know barack obamas geneology	0
1	tell me about obama family tree .	2	Q03402	would you like to know about obamas ancestors	0
1	tell me about obama family tree .	2	Q03725	would you like to know who is currently alive from president obamas family tree	0
1	tell me about obama family tree .	2	Q00769	are you looking for biological information on his family	0
1	tell me about obama family tree .	2	Q01286	are you referring to the time magazine essay	0
1	tell me about obama family tree .	2	Q02152	do you want to know more about obamas parents	0
1	tell me about obama family tree .	2	Q02527	how many generations would you like me to list from president obamas family tree	0
1	tell me about obama family tree .	2	Q02950	what would you like to know about obamas heritage	0
1	tell me about obama family tree .	2	Q03023	which family members of obama are you interested in learning more about	0
1	tell me about obama family tree .	2	Q03071	which specific details would you like to learn about obamas heritage	0
1	tell me about obama family tree .	2	Q03351	would you like to hear about president obamas family tree	0
1	tell me about obama family tree .	2	Q00001	<None>	1
102	what is fickle creek farm	2	Q00059	are you going to purchase anything there	0
102	what is fickle creek farm	2	Q00656	are you looking for a place which sales products from fickle creek farm	0
102	what is fickle creek farm	2	Q00878	are you looking for information about staying at fickle creek farm	0
102	what is fickle creek farm	2	Q01030	are you looking for specific information regarding fickle creek farm	0
102	what is fickle creek farm	2	Q01880	do you want the history of fickle creek farm	0
102	what is fickle creek farm	2	Q02174	do you want to know the animal population at fickle creek farm	1
102	what is fickle creek farm	2	Q02217	do you want to know the location of fickle creek farm	0
102	what is fickle creek farm	2	Q03686	would you like to know where fickle creek farm is on a map	0
102	what is fickle creek farm	2	Q00001	<None>	0
105	tell me about sonoma county medical services .	2	Q00457	are you interested in the human services department	0
105	tell me about sonoma county medical services .	2	Q02630	is this for an emergancy	0
105	tell me about sonoma county medical services .	2	Q03267	would you like the different services that are provided	0
105	tell me about sonoma county medical services .	2	Q00787	are you looking for contact information	0
105	tell me about sonoma county medical services .	2	Q00823	are you looking for employment with sonoma country medical	0
105	tell me about sonoma county medical services .	2	Q01035	are you looking for specific program information	0
105	tell me about sonoma county medical services .	2	Q01593	do you need addresses	0
105	tell me about sonoma county medical services .	2	Q01605	do you need any specific information on health insurance	0
105	tell me about sonoma county medical services .	2	Q01833	do you want information on the differenct services that are provided	0
105	tell me about sonoma county medical services .	2	Q02548	how soon is this needed	0
105	tell me about sonoma county medical services .	2	Q02599	is there a specific program you are looking for	1
105	tell me about sonoma county medical services .	2	Q00001	<None>	0
108	tell me about of ralph owen brester .	1	Q00297	are you interested in learning more about ralph owen brewseter	0
